时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性
,6,,,三 个 观测点 中 ① 位于 大西洋,三 个 观测点 中 ① 位于 大西洋,CD M NN LC NN VV loc
,,6,,三 个 观测点 中 ② 的 纬度 位置 最 低,三 个 观测点 中 ② 的 纬度 位置 最 低,CD M NN LC NN DEG term NN AD VA
,,9,,三 个 观测点 中 ③ 的 海底 地形 是 大陆架,三 个 观测点 中 ③ 的 海底 地形 是 大陆架,CD M NN LC NN DEG NN NN VC term
,,,4,三 个 观测点 中 0－1km 之间 ， ① 的 水温 变化 比 ② 大,三 个 观测点 中 0 － 1 km 之间 ， ① 的 水温 变化 比 ② 大,CD M NN LC num LC PU NN DEG NN NN P NN VA
,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°,term NN PU AD VV NN NN DEG NN VV term num
,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°,term NN PU AD VV NN NN DEG NN VV term num
,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°,term NN PU AD VV NN NN DEG NN VV term num
,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°,term NN PU AD VV NN NN DEG NN VV term num
,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①,VV loc DEC term PU term PU AD VV P NN
,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②,VV loc DEC term PU term PU AD VV P NN
,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③,VV loc DEC term PU term PU AD VV P NN
,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ④,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ④,VV loc DEC term PU term PU AD VV P NN
,,8,,图示 四 个 区域 中 ① 主要 受 风海流 影响,图示 四 个 区域 中 ① 主要 受 风海流 影响,VV CD M NN LC NN AD VV term NN
,,8,,图示 四 个 区域 中 ② 主要 受 寒流 影响,图示 四 个 区域 中 ② 主要 受 寒流 影响,VA CD M NN LC NN AD VV term NN
,,,,图示 四 个 区域 中 ③ 是 世界 著名 大渔场,图示 四 个 区域 中 ③ 是 世界 著名 大渔场,VA CD M NN LC NN VC NN JJ NN
,,8,,图示 四 个 区域 中 ④ 主要 受 密度流 影响,图示 四 个 区域 中 ④ 主要 受 密度流 影响,VA CD M NN LC NN AD VV term NN
,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ② 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ② 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC
,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ④ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ④ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC
,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ② — ③ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ② — ③ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC
,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ③ — ④ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ③ — ④ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC
,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 温度,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 温度,VV term VV NN NN NN NN PU JJ NN NN NN
,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 孔隙,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 孔隙,VV term VV NN NN NN NN PU JJ NN NN VV
,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 肥力,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 肥力,VV term VV NN NN NN NN PU JJ NN NN NN
,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 空气,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 空气,VV term VV NN NN NN NN PU JJ NN NN NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV NR VV
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土 流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 防治 水土 流失,AD VA VA DEC NN NN VV DEC NN VC loc VV NN NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 实施 排灌 ， 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌 ， 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NN NN NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 实施 排灌,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌,AD VA VA DEC NN NN VV DEC NN VC loc VV NN
,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc NN NN NN
