时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,图 中 指示 山脊 和 山谷 的 分别 是 ① 和 ②,NN LC VV term CC term DEG AD VC NN CC NN
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,图 中 指示 山脊 和 山谷 的 分别 是 ② 和 ③,NN LC VV term CC term DEG AD VC NN CC NN
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,图 中 指示 山脊 和 山谷 的 分别 是 ③ 和 ④,NN LC VV term CC term DEG AD VC NN CC NN
,,3 5,,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,图 中 指示 山脊 和 山谷 的 分别 是 ④ 和 ⑤,NN LC VV term CC term DEG AD VC NN CC NN
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结成岩 — 风化剥蚀 — 侵蚀搬运 — 地壳抬升,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 固结 成岩 — 风化 剥蚀 — 侵蚀 搬运 — 地壳 抬升,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳抬升 — 侵蚀搬运 — 岩浆侵入 — 风化剥蚀,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 地壳 抬升 — 侵蚀 搬运 — 岩浆 侵入 — 风化 剥蚀,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆侵入 — 地壳抬升 — 风化剥蚀 — 侵蚀搬运,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 岩浆 侵入 — 地壳 抬升 — 风化 剥蚀 — 侵蚀 搬运,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,0,1 9 13 15 17 19,,八达岭地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀搬运 — 岩浆侵入 — 地壳抬升 — 固结成岩,八达岭 地区 花岗岩 从 形成 到 出露 所 经历 的 地质 过程 依次 是 侵蚀 搬运 — 岩浆 侵入 — 地壳 抬升 — 固结 成岩,loc term P VV P VV MSP VV DEC term NN AD VC term PU term PU term PU term
,,0 2,5,经纬网 的 纬线 间距 为 3°,经纬网 的 纬线 间距 为 3°,term DEG term NN VC num
,,0 2,5,经纬网 的 纬线 间距 为 5°,经纬网 的 纬线 间距 为 5°,term DEG term NN VC num
,,0 2,5,经纬网 的 纬线 间距 为 8°,经纬网 的 纬线 间距 为 8°,term DEG term NN VC num
