时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性
0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日19时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 19时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time
0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日5时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 5时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time
0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日21时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 19日 21时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time
0 24,5 7 15 19,2 22,6,2002年11月20日9时 （ 北京时间 ） ， 中国 第19次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日21时,2002年 11月 20日 9时 （ 北京 时间 ） ， 中国 第 19 次 南极 科学 考察队 乘 “ 雪龙号 ” 自 上海 出发 ， 此时 长城站 所在地 的 区时 为 20日 21时,time PU term PU PU loc num loc NN NN VV PU NN PU P loc VV PU NT loc NN DEG term VC time
,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2070千米,中山站 到 南极点 的 直线 距离 约 为 2070 千米,loc CC loc DEG NN NN AD VC num
,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2270千米,中山站 到 南极点 的 直线 距离 约 为 2270 千米,loc CC loc DEG NN NN AD VC num
,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2570千米,中山站 到 南极点 的 直线 距离 约 为 2570 千米,loc CC loc DEG NN NN AD VC num
,0 2,,8,中山站 到 南极点 的 直线 距离 约 为 2670千米,中山站 到 南极点 的 直线 距离 约 为 2670 千米,loc CC loc DEG NN NN AD VC num
,1 4,,,与 中山站 相比 ， 长城站 所在地 白昼 时间 长,与 中山站 相比 ， 长城站 所在地 白昼 时间 长,P loc VV PU loc NN NN NN VA
,1 4,6,,与 中山站 相比 ， 长城站 所在地 自转 速度 慢,与 中山站 相比 ， 长城站 所在地 自转 速度 慢,P loc VV PU loc NN term NN VA
,1 4,6,,与 中山站 相比 ， 长城站 所在地 自转 周期 长,与 中山站 相比 ， 长城站 所在地 自转 周期 长,P loc VV PU loc NN term NN VA
,1 4,6,,与 中山站 相比 ， 长城站 所在地 正午太阳高度 大,与 中山站 相比 ， 长城站 所在地 正午 太阳 高度 大,P loc VV PU loc NN term VA
,0 14,2 11,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 湄公河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 湄公河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc
,0 14,2 11,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 莱茵河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 莱茵河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc
,0 14,2 11,,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 亚马孙河,中山站 出现 极昼 期间 ， 下列 河流 最 有 可能 处于 枯水期 的 是 亚马孙河,loc VV term NN PU JJ NN AD VE NN VV term DEC VC loc
