文本,完整模板
在7、8月份，伦敦比北京	气温高，日较差大,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）比较_2（伦敦，北京，气温日较差，大）
在7、8月份，伦敦比北京	气温高,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温，高）
在7、8月份，伦敦比北京	气温日较差大,时间限定_0（在7、8月份）比较_1（伦敦，北京，气温日较差，大）
在7、8月份，伦敦比北京	风小雾大，降水多,时间限定_0（在7、8月份）比较_1（伦敦，北京，风，小）比较_2（伦敦，北京，雾，大）比较_3（伦敦，北京，降水，多）
在7、8月份，伦敦比北京	风小雾大,时间限定_0（在7、8月份）比较_1（伦敦，北京，风，小）比较_2（伦敦，北京，雾，大）
在7、8月份，伦敦比北京	降水多,时间限定_0（在7、8月份）比较_1（伦敦，北京，降水，多）
在7、8月份，伦敦比北京	正午太阳高度角小,时间限定_0（在7、8月份）比较_1（伦敦，北京，正午太阳高度角，小）
在7、8月份，伦敦比北京	日出晚，昼短夜长,时间限定_0（在7、8月份）比较_1（伦敦，北京，日出，晚）比较_2（伦敦，北京，昼，短）比较_3（伦敦，北京，夜，长）
在7、8月份，伦敦比北京	日出晚,时间限定_0（在7、8月份）比较_1（伦敦，北京，日出，晚）
在7、8月份，伦敦比北京	昼短夜长,时间限定_0（在7、8月份）比较_1（伦敦，北京，昼，短）比较_2（伦敦，北京，夜，长）
英国	地处亚欧板块和美洲板块交界处,位于_0（英国，亚欧板块和美洲板块交界处）
英国	西部海岸线曲折，珊瑚礁发育好,实体信息陈述_0（英国，西部海岸线，曲折）实体信息陈述_1（英国，西部海岸珊瑚礁发育，好）
英国	西部海岸线曲折,实体信息陈述_0（英国，西部海岸线，曲折）
英国	西部海岸珊瑚礁发育好,实体信息陈述_0（英国，西部海岸珊瑚礁发育，好）
英国	地形以高原为主，地势西高东低,实体信息陈述_0（英国，地形，以高原为主）实体信息陈述_1（英国，地势，西高东低）
英国	地形以高原为主,实体信息陈述_0（英国，地形，以高原为主）
