文本,完整模板
图中指示山脊和山谷的分别是	①和②,匹配_0（山脊，①）匹配_1（山谷，②）
图中指示山脊和山谷的分别是	②和③,匹配_0（山脊，②）匹配_1（山谷，③）
图中指示山脊和山谷的分别是	③和④,匹配_0（山脊，③）匹配_1（山谷，④）
图中指示山脊和山谷的分别是	④和⑤,匹配_0（山脊，④）匹配_1（山谷，⑤）
八达岭地区花岗岩从形成到出露所经历的地质过程依次是	固结成岩—风化剥蚀—侵蚀搬运—地壳抬升,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（固结成岩，风化剥蚀，侵蚀搬运，地壳抬升））
八达岭地区花岗岩从形成到出露所经历的地质过程依次是	地壳抬升—侵蚀搬运—岩浆侵入—风化剥蚀,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（地壳抬升，侵蚀搬运，岩浆侵入，风化剥蚀））
八达岭地区花岗岩从形成到出露所经历的地质过程依次是	岩浆侵入—地壳抬升—风化剥蚀—侵蚀搬运,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（岩浆侵入，地壳抬升，风化剥蚀，侵蚀搬运））
八达岭地区花岗岩从形成到出露所经历的地质过程依次是	侵蚀搬运—岩浆侵入—地壳抬升—固结成岩,实体信息陈述_0（八达岭地区花岗岩，从形成到出露所经历的地质过程，列表_1（侵蚀搬运，岩浆侵入，地壳抬升，固结成岩））
经纬网的纬线间距为	3°,实体信息陈述_0（经纬网，纬线间距，3°）
经纬网的纬线间距为	5°,实体信息陈述_0（经纬网，纬线间距，5°）
经纬网的纬线间距为	8°,实体信息陈述_0（经纬网，纬线间距，8°）
经纬网的纬线间距为	10°,实体信息陈述_0（经纬网，纬线间距，10°）
图上标出的经纬网格区中	②与③都处于暖温带,位于_0（集合_1（②，③），暖温带）
图上标出的经纬网格区中	随地球自转，③的角速度比④小,比较_0（③，④，角速度，小）
图上标出的经纬网格区中	从春分到夏至，①比④的昼长变化幅度大,时间限定_0（从春分到夏至）比较_1（①，④，昼长变化幅度，大）
图上标出的经纬网格区中	从夏至到秋分，②比⑤的正午太阳高度角变化幅度大,时间限定_0（从夏至到秋分）比较_1（②，⑤，正午太阳高度角变化幅度，大）
人口密度差值最大的两个网格区是	①和④,最值_0（集合_1（①，④），人口密度差值，大）
人口密度差值最大的两个网格区是	②和③,最值_0（集合_1（②，③），人口密度差值，大）
人口密度差值最大的两个网格区是	③和⑤,最值_0（集合_1（③，⑤），人口密度差值，大）
人口密度差值最大的两个网格区是	④和⑤,最值_0（集合_1（④，⑤），人口密度差值，大）
从地形和降水条件分析，最易发生泥石流的网格区是	①,最值_0（①，发生泥石流，易）
从地形和降水条件分析，最易发生泥石流的网格区是	②,最值_0（②，发生泥石流，易）
从地形和降水条件分析，最易发生泥石流的网格区是	④,最值_0（④，发生泥石流，易）
从地形和降水条件分析，最易发生泥石流的网格区是	⑤,最值_0（⑤，发生泥石流，易）
由08时到20时，图中	①地风向偏北，风力逐渐减弱,时间限定_0（由08时到20时）实体信息陈述_1（①地，风向，偏北）趋势_2（①地，风力，#，逐渐减弱）
由08时到20时，图中	①地风向偏北,时间限定_0（由08时到20时）实体信息陈述_1（①地，风向，偏北）
由08时到20时，图中	①地风力逐渐减弱,时间限定_0（由08时到20时）趋势_1（①地，风力，#，逐渐减弱）
由08时到20时，图中	②地受高压脊控制，天气持续晴朗,时间限定_0（由08时到20时）影响_1（高压脊，②地）实体信息陈述_2（②地，天气，持续晴朗）
由08时到20时，图中	②地受高压脊控制,时间限定_0（由08时到20时）影响_1（高压脊，②地
由08时到20时，图中	②地天气持续晴朗,时间限定_0（由08时到20时）实体信息陈述_1（②地，天气，持续晴朗）
由08时到20时，图中	低气压中心向东北方向移动并增强,时间限定_0（由08时到20时）趋势_1（低气压中心，#，向东北方向，移动并增强）
由08时到20时，图中	气旋中心附近暖锋移动快于冷锋,时间限定_0（由08时到20时）比较_1（气旋中心附近暖锋，冷锋，移动，快）
乍得湖流域	河流径流量的季节变化小,实体信息陈述_0（乍得湖流域河流径流量，季节变化，小）
乍得湖流域	河水主要来源于冰雪融水,实体信息陈述_0（乍得湖流域河水，主要来源，冰雪融水）
乍得湖流域	地表径流参与海陆间水循环,实体信息陈述_0（乍得湖流域地表径流，参与，海陆间水循环）
乍得湖流域	水面蒸发参与陆地内水循环,实体信息陈述_0（乍得湖流域水面蒸发，参与，陆地内水循环）
根据图中信息可以判断	流域面积缩小,趋势_0（流域，面积，#，缩小）
根据图中信息可以判断	湖泊水位总体下降,趋势_0（湖泊，水位，#，下降）
根据图中信息可以判断	流域主体位于热带荒漠,位于_0（流域主体，热带荒漠）
根据图中信息可以判断	1963年时湖底东南高，西北低,时间限定_0（1963年）实体信息陈述_1（湖底，东南，高）实体信息陈述_2（湖底，西北，低）
该城区地表温度的	高低变化与地表起伏呈正相关,影响_0（地表起伏，该城区地表温度的高低变化，正相关）
该城区地表温度的	高值区变化是气候变暖的结果,因果_0（气候变暖，该城区地表温度的 高值区变化）
该城区地表温度的	低值区是河流或绿地影响的结果,影响_0（河流或绿地，该城区地表温度的低值区）
该城区地表温度的	差异可导致地面风从城区吹向郊区,因果_0（该城区地表温度的差异，地面风从城区吹向郊区）
据图可以推断，从1982年到2004年该城区	建筑物占地面积增加,时间限定_0（从1982年到2004年）趋势_1（该城区，建筑物占地面积，#，增加）
据图可以推断，从1982年到2004年该城区	南北部道路密度差异加大,时间限定_0（从1982年到2004年）趋势_1（该城区，南北部道路密度差异，#，加大）
据图可以推断，从1982年到2004年该城区	商业区向城区中心集中,时间限定_0（从1982年到2004年）趋势_1（该城区，商业区，向城区中心，集中）
据图可以推断，从1982年到2004年该城区	空间形态没有发生变化,时间限定_0（从1982年到2004年）实体信息陈述_1（该城区，空间形态，没有发生变化）
