文本,完整模板
图中	甲地是中国日出最早的地方,最值_0（甲地，日出，早，中国）
图中	夏至日漠河有极昼现象,时间限定_0（夏至日）实体信息陈述_1（漠河，有，极昼现象）
图中	大兴安岭为内、外流区分水岭,实体信息陈述_0（大兴安岭，为，内、外流区分水岭）
图中	松花江干流有凌汛现象,实体信息陈述_0（松花江干流，有，凌汛现象）
东北平原	地势中间高，南北低,实体信息陈述_0（东北平原，地势，中间高）实体信息陈述_1（东北平原，地势，南北低）
东北平原	地势中间高,实体信息陈述_0（东北平原，地势，中间高）
东北平原	地势南北低,实体信息陈述_0（东北平原，地势，南北低）
东北平原	冬冷夏热，伏旱严重,实体信息陈述_0（东北平原，冬，冷）实体信息陈述_1（东北平原，夏，热）实体信息陈述_2（东北平原，伏旱，严重）
东北平原	冬冷夏热,实体信息陈述_0（东北平原，冬，冷）实体信息陈述_1（东北平原，夏，热）
东北平原	伏旱严重,实体信息陈述_0（东北平原，伏旱，严重）
东北平原	农业实行小农场经营，精耕细作,实体信息陈述_0（东北平原农业，实行，小农场经营）实体信息陈述_1（东北平原农业，实行，精耕细作）
东北平原	农业实行小农场经营,实体信息陈述_0（东北平原农业，实行，小农场经营）
东北平原	农业精耕细作,实体信息陈述_0（东北平原农业，实行，精耕细作）
东北平原	是中国重要的商品棉基地,实体信息陈述_0（东北平原，是，中国重要的商品棉基地）
20世纪50-70年代人口大规模迁入东北地区的主要原因是	农村剩余劳动力转移,时间限定_0（20世纪50-70年代）因果_1（农村剩余劳动力转移，人口大规模迁入东北地区）
20世纪50-70年代人口大规模迁入东北地区的主要原因是	工业基地建设的需要,时间限定_0（20世纪50-70年代）因果_1（工业基地建设的需要，人口大规模迁入东北地区）
20世纪50-70年代人口大规模迁入东北地区的主要原因是	地处边疆，邻国人口迁入,时间限定_0（20世纪50-70年代）因果_1（位于_2（东北地区，边疆）趋势_3（邻国，人口，#，迁入），人口大规模迁入东北地区）
20世纪50-70年代人口大规模迁入东北地区的主要原因是	地处边疆,时间限定_0（20世纪50-70年代）因果_1（位于_2（东北地区，边疆），人口大规模迁入东北地区）
20世纪50-70年代人口大规模迁入东北地区的主要原因是	邻国人口迁入,时间限定_0（20世纪50-70年代）因果_1（趋势_2（邻国，人口，#，迁入），人口大规模迁入东北地区）
20世纪50-70年代人口大规模迁入东北地区的主要原因是	城市知识青年有计划迁入,时间限定_0（20世纪50-70年代）因果_1（趋势_2（城市知识青年，#，#，有计划迁入），人口大规模迁入东北地区）
甲、乙、丙分别位于	巴西、印度、南非,位于_0（甲，巴西）位于_1（乙，印度）位于_2（丙，南非）
甲、乙、丙分别位于	南非、巴西、印度,位于_0（甲，南非）位于_1（乙，巴西）位于_2（丙，印度）
甲、乙、丙分别位于	印度、巴西、南非,位于_0（甲，印度）位于_1（乙，巴西）位于_2（丙，南非）
甲、乙、丙分别位于	巴西、南非、印度,位于_0（甲，巴西）位于_1（乙，南非）位于_2（丙，印度）
大气中	臭氧层遭到破坏，会导致①增加,因果_0（大气中臭氧层遭到破坏，趋势_1（①，#，#，增加））
大气中	二氧化碳浓度降低，会使②减少,因果_0（大气中二氧化碳浓度降低，趋势_1（②，#，#，减少））
大气中	可吸入颗粒物增加，会使③增加,因果_0（大气中可吸入颗粒物增加，趋势_1（③，#，#，增加））
大气中	出现雾霾，会导致④在夜间减少,因果_0（大气中出现雾霾，时间限定_1（夜间）趋势_2（④，#，#，减少））
图4（-A）中	①比②风速大,比较_0（①，②，风速，大）
图4（-A）中	①比③云量少,比较_0（①，③，云量，少）
图4（-A）中	②比③气压低,比较_0（②，③，气压，低）
图4（-A）中	②比④气温高,比较_0（②，④，气温，高）
锋通过④地的时间可能为	上午,实体信息陈述_0（锋，通过④地的时间，上午）
锋通过④地的时间可能为	下午,实体信息陈述_0（锋，通过④地的时间，下午）
锋通过④地的时间可能为	傍晚,实体信息陈述_0（锋，通过④地的时间，傍晚）
锋通过④地的时间可能为	夜间,实体信息陈述_0（锋，通过④地的时间，夜间）
甲地为峰林，同类景观多出现在	苏,匹配_0（甲地，峰林）分布_1（同类景观，苏，多）
甲地为峰林，同类景观多出现在	湘,匹配_0（甲地，峰林）分布_1（同类景观，湘，多）
